"","nearby.bar$results$name","lat","lng"
"1","Federation Square",-37.8179789,144.9690576
"2","Public Toilet",-37.8180374,144.9690469
"3","Jim's Regular Home Cleaning Service",-37.8180564,144.9690628
"4","Koorie Heritage Trust Inc",-37.818152,144.96909
"5","In A Rush Espresso",-37.8178356,144.9690999
"6","Melbourne Festival",-37.818199,144.969044
"7","Arintji - Steak & Seafood",-37.818197,144.968978
"8","Il Pom Italian Fed Sqaure",-37.8182078,144.969229
"9","Pause Fest",-37.8179377,144.9688107
"10","ACMI Cafe & Bar",-37.8176991,144.9692046
"11","Taxi Riverside",-37.8182938,144.9692826
"12","Cafe Chinotto",-37.817846,144.969482
"13","ACMI",-37.8176562,144.9690304
"14","Chocolate Buddha",-37.8175246,144.9689087
"15","Deakin Edge, Federation Square",-37.8182418,144.9697156
"16","Beer DeLuxe Fed Square",-37.8174609,144.9694026
"17","No Vacancy Gallery / Project Space",-37.817503,144.969516
"18","The Grill at Beer DeLuxe",-37.817475,144.9694739
"19","Transport Hotel",-37.8183938,144.9684217
"20","Audio Tours Australia: Melbourne",-37.818132,144.968236
